gain	117	0	-111.48
gain	0	118	-106.20
gain	118	0	-107.93
gain	0	119	-110.31
gain	119	0	-112.85
gain	0	120	-93.37
gain	120	0	-94.97
gain	0	121	-94.64
gain	121	0	-95.83
gain	0	122	-98.11
gain	122	0	-97.60
gain	0	123	-100.77
gain	123	0	-103.46
gain	0	124	-92.06
gain	124	0	-93.43
gain	0	125	-99.56
gain	125	0	-101.33
gain	0	126	-101.80
gain	126	0	-102.85
gain	0	127	-105.11
gain	127	0	-106.21
gain	0	128	-102.68
gain	128	0	-104.43
gain	0	129	-104.22
gain	129	0	-104.35
gain	0	130	-100.87
gain	130	0	-101.52
gain	0	131	-104.18
gain	131	0	-105.82
gain	0	132	-108.78
gain	132	0	-110.32
gain	0	133	-109.68
gain	133	0	-111.48
gain	0	134	-111.64
gain	134	0	-111.81
gain	0	135	-102.66
gain	135	0	-102.26
gain	0	136	-98.34
gain	136	0	-98.97
gain	0	137	-97.68
gain	137	0	-99.46
gain	0	138	-102.99
gain	138	0	-104.48
gain	0	139	-100.24
gain	139	0	-100.54
gain	0	140	-104.59
gain	140	0	-105.61
gain	0	141	-104.45
gain	141	0	-104.18
gain	0	142	-103.46
gain	142	0	-104.43
gain	0	143	-100.58
gain	143	0	-101.87
gain	0	144	-110.19
gain	144	0	-111.65
gain	0	145	-107.47
gain	145	0	-109.68
gain	0	146	-106.33
gain	146	0	-107.91
gain	0	147	-106.88
gain	147	0	-110.60
gain	0	148	-115.53
gain	148	0	-116.69
gain	0	149	-107.23
gain	149	0	-107.08
gain	0	150	-98.74
gain	150	0	-100.67
gain	0	151	-106.04
gain	151	0	-106.66
gain	0	152	-100.60
gain	152	0	-103.26
gain	0	153	-103.28
gain	153	0	-104.14
gain	0	154	-104.28
gain	154	0	-104.12
gain	0	155	-105.65
gain	155	0	-105.68
gain	0	156	-103.75
gain	156	0	-104.82
gain	0	157	-110.57
gain	157	0	-111.99
gain	0	158	-104.15
gain	158	0	-103.75
gain	0	159	-109.22
gain	159	0	-111.26
gain	0	160	-110.76
gain	160	0	-111.94
gain	0	161	-109.66
gain	161	0	-110.28
gain	0	162	-108.97
gain	162	0	-108.97
gain	0	163	-110.36
gain	163	0	-112.71
gain	0	164	-113.29
gain	164	0	-113.19
gain	0	165	-102.06
gain	165	0	-102.94
gain	0	166	-99.71
gain	166	0	-100.40
gain	0	167	-108.23
gain	167	0	-109.37
gain	0	168	-110.65
gain	168	0	-110.70
gain	0	169	-104.13
gain	169	0	-102.72
gain	0	170	-111.03
gain	170	0	-111.66
gain	0	171	-105.51
gain	171	0	-105.52
gain	0	172	-101.81
gain	172	0	-103.12
gain	0	173	-111.58
gain	173	0	-111.54
gain	0	174	-112.72
gain	174	0	-113.64
gain	0	175	-111.50
gain	175	0	-112.17
gain	0	176	-109.62
gain	176	0	-109.89
gain	0	177	-114.94
gain	177	0	-116.50
gain	0	178	-110.63
gain	178	0	-111.24
gain	0	179	-111.72
gain	179	0	-113.47
gain	0	180	-108.61
gain	180	0	-108.68
gain	0	181	-101.77
gain	181	0	-103.58
gain	0	182	-105.89
gain	182	0	-106.31
gain	0	183	-111.63
gain	183	0	-113.12
gain	0	184	-101.97
gain	184	0	-102.11
gain	0	185	-111.16
gain	185	0	-112.36
gain	0	186	-107.71
gain	186	0	-108.25
gain	0	187	-108.98
gain	187	0	-109.84
gain	0	188	-107.88
gain	188	0	-108.10
gain	0	189	-111.28
gain	189	0	-111.79
gain	0	190	-106.43
gain	190	0	-108.61
gain	0	191	-113.32
gain	191	0	-113.75
gain	0	192	-111.49
gain	192	0	-114.83
gain	0	193	-113.34
gain	193	0	-114.02
gain	0	194	-115.99
gain	194	0	-116.91
gain	0	195	-101.32
gain	195	0	-101.59
gain	0	196	-105.59
gain	196	0	-107.75
gain	0	197	-103.12
gain	197	0	-103.56
gain	0	198	-108.56
gain	198	0	-110.12
gain	0	199	-109.78
gain	199	0	-109.64
gain	0	200	-105.48
gain	200	0	-107.66
gain	0	201	-103.21
gain	201	0	-104.39
gain	0	202	-108.23
gain	202	0	-109.61
gain	0	203	-106.86
gain	203	0	-108.46
gain	0	204	-111.79
gain	204	0	-113.08
gain	0	205	-103.31
gain	205	0	-102.87
gain	0	206	-108.93
gain	206	0	-108.19
gain	0	207	-111.83
gain	207	0	-112.59
gain	0	208	-114.36
gain	208	0	-116.07
gain	0	209	-114.53
gain	209	0	-115.14
gain	0	210	-113.87
gain	210	0	-114.40
gain	0	211	-105.58
gain	211	0	-105.07
gain	0	212	-108.29
gain	212	0	-109.72
gain	0	213	-111.24
gain	213	0	-111.79
gain	0	214	-103.79
gain	214	0	-106.18
gain	0	215	-111.21
gain	215	0	-111.75
gain	0	216	-109.89
gain	216	0	-111.12
gain	0	217	-107.73
gain	217	0	-110.96
gain	0	218	-113.76
gain	218	0	-114.76
gain	0	219	-109.82
gain	219	0	-111.06
gain	0	220	-109.47
gain	220	0	-110.98
gain	0	221	-111.44
gain	221	0	-112.43
gain	0	222	-114.66
gain	222	0	-114.94
gain	0	223	-111.77
gain	223	0	-111.83
gain	0	224	-116.99
gain	224	0	-118.96
gain	1	2	-54.08
gain	2	1	-54.97
gain	1	3	-73.42
gain	3	1	-73.29
gain	1	4	-77.55
gain	4	1	-77.12
gain	1	5	-88.47
gain	5	1	-88.39
gain	1	6	-86.75
gain	6	1	-86.87
gain	1	7	-90.68
gain	7	1	-90.62
gain	1	8	-89.68
gain	8	1	-90.16
gain	1	9	-99.96
gain	9	1	-100.52
gain	1	10	-97.28
gain	10	1	-97.68
gain	1	11	-105.87
gain	11	1	-105.75
gain	1	12	-104.99
gain	12	1	-106.86
gain	1	13	-109.82
gain	13	1	-109.99
gain	1	14	-106.03
gain	14	1	-107.32
gain	1	15	-64.75
gain	15	1	-64.70
gain	1	16	-59.82
gain	16	1	-59.04
gain	1	17	-54.41
gain	17	1	-53.23
gain	1	18	-72.49
gain	18	1	-71.38
gain	1	19	-80.85
gain	19	1	-81.80
gain	1	20	-79.96
gain	20	1	-79.86
gain	1	21	-84.18
gain	21	1	-84.77
gain	1	22	-88.97
gain	22	1	-89.54
gain	1	23	-98.32
gain	23	1	-97.05
gain	1	24	-97.87
gain	24	1	-100.69
gain	1	25	-100.42
gain	25	1	-102.88
gain	1	26	-99.67
gain	26	1	-98.56
gain	1	27	-99.18
gain	27	1	-97.63
gain	1	28	-107.32
gain	28	1	-107.87
gain	1	29	-104.29
gain	29	1	-105.13
gain	1	30	-74.00
gain	30	1	-73.57
gain	1	31	-63.45
gain	31	1	-64.56
gain	1	32	-72.01
gain	32	1	-73.64
gain	1	33	-72.36
gain	33	1	-74.30
gain	1	34	-84.64
gain	34	1	-82.24
gain	1	35	-85.14
gain	35	1	-87.81
gain	1	36	-89.58
gain	36	1	-90.90
gain	1	37	-94.01
gain	37	1	-94.80
gain	1	38	-94.85
gain	38	1	-93.51
gain	1	39	-104.88
gain	39	1	-105.49
gain	1	40	-101.40
gain	40	1	-101.84
gain	1	41	-102.72
gain	41	1	-102.66
gain	1	42	-103.61
gain	42	1	-104.65
gain	1	43	-105.41
gain	43	1	-106.08
gain	1	44	-104.92
gain	44	1	-103.78
gain	1	45	-77.05
gain	45	1	-77.55
gain	1	46	-80.14
gain	46	1	-79.62
gain	1	47	-83.10
gain	47	1	-83.66
gain	1	48	-89.23
gain	48	1	-87.87
gain	1	49	-79.90
gain	49	1	-79.82
gain	1	50	-81.90
gain	50	1	-83.02
gain	1	51	-92.21
gain	51	1	-92.11
gain	1	52	-94.57
gain	52	1	-94.40
gain	1	53	-99.01
gain	53	1	-100.39
gain	1	54	-100.53
gain	54	1	-103.11
gain	1	55	-102.86
gain	55	1	-103.12
gain	1	56	-106.17
gain	56	1	-107.32
gain	1	57	-102.35
gain	57	1	-102.84
gain	1	58	-101.77
gain	58	1	-103.04
gain	1	59	-111.77
gain	59	1	-112.00
gain	1	60	-85.04
gain	60	1	-84.88
gain	1	61	-82.49
gain	61	1	-82.91
gain	1	62	-82.59
gain	62	1	-83.92
gain	1	63	-85.46
gain	63	1	-86.07
gain	1	64	-91.75
gain	64	1	-90.70
gain	1	65	-94.14
gain	65	1	-95.60
